#options: 1184x666 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1100 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:32.30 aq:24.32 tex:113962 mv:47897 misc:197 imb:3108 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:33.03 aq:24.43 tex:27083 mv:11418 misc:2611 imb:280 pmb:1048 smb:1780 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:33.03 aq:31.79 tex:580 mv:1621 misc:783 imb:3 pmb:146 smb:2959 d:s ref:0 ;
in:4 out:3 type:P dur:2 cpbdur:2 q:33.07 aq:24.12 tex:24428 mv:10109 misc:2671 imb:354 pmb:947 smb:1807 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:33.05 aq:27.33 tex:277 mv:853 misc:678 imb:1 pmb:103 smb:3004 d:t ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:33.00 aq:23.53 tex:30970 mv:12209 misc:2925 imb:462 pmb:1214 smb:1432 d:- ref:0 w:0,1,1 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:33.04 aq:24.56 tex:1865 mv:2733 misc:1626 imb:15 pmb:385 smb:2708 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:33.06 aq:27.76 tex:358 mv:1390 misc:940 imb:3 pmb:214 smb:2891 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:33.02 aq:27.16 tex:612 mv:676 misc:560 imb:9 pmb:74 smb:3025 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:34.76 aq:25.64 tex:17267 mv:8632 misc:2653 imb:276 pmb:902 smb:1930 d:s ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:33.88 aq:25.76 tex:1829 mv:1743 misc:1284 imb:15 pmb:234 smb:2859 d:s ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:33.44 aq:26.83 tex:759 mv:816 misc:713 imb:4 pmb:101 smb:3003 d:s ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:34.32 aq:27.30 tex:462 mv:404 misc:390 imb:0 pmb:44 smb:3064 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:30.76 aq:22.28 tex:65881 mv:15589 misc:2522 imb:539 pmb:1760 smb:809 d:s ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:32.76 aq:24.93 tex:2324 mv:2625 misc:1483 imb:20 pmb:304 smb:2784 d:t ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:33.76 aq:29.16 tex:659 mv:821 misc:544 imb:6 pmb:74 smb:3028 d:s ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:31.76 aq:25.45 tex:682 mv:746 misc:716 imb:3 pmb:99 smb:3006 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:27.97 aq:20.25 tex:92515 mv:16200 misc:2261 imb:397 pmb:2016 smb:695 d:s ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:29.37 aq:21.77 tex:4728 mv:4158 misc:2386 imb:26 pmb:619 smb:2463 d:t ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:30.07 aq:22.92 tex:1292 mv:1055 misc:1181 imb:11 pmb:186 smb:2911 d:s ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:28.67 aq:21.96 tex:2060 mv:1827 misc:1697 imb:17 pmb:331 smb:2760 d:- ref:0 ;
in:22 out:21 type:P dur:2 cpbdur:2 q:27.08 aq:19.26 tex:109335 mv:17246 misc:2075 imb:448 pmb:2149 smb:511 d:s ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:27.52 aq:21.07 tex:1471 mv:1677 misc:1348 imb:7 pmb:234 smb:2867 d:t ref:0 ;
in:24 out:23 type:P dur:2 cpbdur:2 q:27.70 aq:20.10 tex:28657 mv:8901 misc:3106 imb:249 pmb:1225 smb:1634 d:s ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:27.39 aq:20.70 tex:1893 mv:1712 misc:1411 imb:18 pmb:248 smb:2842 d:t ref:0 ;
in:26 out:25 type:P dur:2 cpbdur:2 q:26.86 aq:19.06 tex:75270 mv:18879 misc:2083 imb:592 pmb:1988 smb:528 d:s ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:27.28 aq:21.14 tex:1904 mv:2298 misc:1470 imb:5 pmb:280 smb:2823 d:s ref:0 ;
in:28 out:27 type:P dur:2 cpbdur:2 q:27.46 aq:19.45 tex:54191 mv:14893 misc:2644 imb:402 pmb:1765 smb:941 d:s ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:27.16 aq:21.79 tex:2846 mv:3000 misc:1706 imb:8 pmb:382 smb:2718 d:t ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:27.06 aq:20.38 tex:87927 mv:17717 misc:2324 imb:503 pmb:1948 smb:657 d:s ref:0 w:0,1,1 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:27.26 aq:20.93 tex:11931 mv:8003 misc:2674 imb:52 pmb:943 smb:2113 d:s ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:27.36 aq:21.19 tex:2331 mv:3282 misc:1859 imb:21 pmb:399 smb:2688 d:s ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:27.16 aq:21.61 tex:3032 mv:3305 misc:2007 imb:17 pmb:474 smb:2617 d:- ref:0 ;
in:34 out:33 type:P dur:2 cpbdur:2 q:26.62 aq:19.61 tex:123791 mv:18143 misc:2154 imb:567 pmb:1964 smb:577 d:s ref:0 w:0,1,1 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:26.84 aq:21.75 tex:6847 mv:5093 misc:1852 imb:14 pmb:554 smb:2540 d:s ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:26.97 aq:19.62 tex:194287 mv:25106 misc:1039 imb:1156 pmb:1802 smb:150 d:s ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:26.79 aq:20.75 tex:45255 mv:15511 misc:2770 imb:228 pmb:1354 smb:1526 d:s ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:26.70 aq:21.55 tex:19536 mv:10798 misc:2490 imb:70 pmb:991 smb:2047 d:s ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:26.88 aq:21.95 tex:13984 mv:8977 misc:2311 imb:58 pmb:786 smb:2264 d:- ref:0 ;
in:40 out:39 type:P dur:2 cpbdur:2 q:27.42 aq:20.16 tex:83499 mv:13724 misc:2785 imb:283 pmb:1743 smb:1082 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:27.19 aq:21.85 tex:4710 mv:4044 misc:2046 imb:11 pmb:554 smb:2543 d:s ref:0 ;
in:42 out:41 type:P dur:2 cpbdur:2 q:28.25 aq:20.68 tex:71579 mv:15807 misc:2566 imb:414 pmb:1878 smb:816 d:s ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:27.83 aq:22.44 tex:3526 mv:3583 misc:1971 imb:17 pmb:465 smb:2626 d:t ref:0 ;
in:44 out:43 type:P dur:2 cpbdur:2 q:28.38 aq:21.10 tex:67089 mv:12591 misc:2800 imb:260 pmb:1656 smb:1192 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:28.31 aq:22.96 tex:3110 mv:3014 misc:1820 imb:12 pmb:414 smb:2682 d:t ref:0 ;
in:46 out:45 type:P dur:2 cpbdur:2 q:28.46 aq:20.94 tex:73813 mv:16457 misc:2354 imb:469 pmb:1924 smb:715 d:s ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:28.42 aq:22.50 tex:3665 mv:3380 misc:1899 imb:13 pmb:464 smb:2631 d:t ref:0 ;
in:48 out:47 type:P dur:2 cpbdur:2 q:28.52 aq:21.21 tex:70328 mv:13457 misc:2591 imb:301 pmb:1853 smb:954 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:28.49 aq:23.35 tex:2176 mv:3014 misc:1386 imb:5 pmb:314 smb:2789 d:t ref:0 ;
